"Date","Close","Open","High","Low","Volume","Change"
"01.06.2024","67.760,8","67.533,9","67.861,0","67.449,6","19,01K","0,34%"
"31.05.2024","67.530,1","68.352,3","69.018,2","66.676,8","61,51K","-1,21%"
"30.05.2024","68.354,7","67.631,3","69.504,7","67.138,4","66,84K","1,06%"
"29.05.2024","67.635,8","68.366,2","68.897,6","67.143,2","52,13K","-1,07%"
"28.05.2024","68.366,0","69.428,3","69.560,7","67.299,9","71,39K","-1,53%"
"27.05.2024","69.428,7","68.514,6","70.638,3","68.275,2","49,07K","1,33%"
"26.05.2024","68.514,8","69.287,2","69.494,0","68.294,5","24,58K","-1,11%"
"25.05.2024","69.284,4","68.548,2","69.558,8","68.516,1","25,17K","1,07%"
"24.05.2024","68.547,6","67.971,1","69.212,0","66.685,8","63,28K","0,84%"
"23.05.2024","67.975,7","69.166,3","70.041,0","66.578,1","89,45K","-1,71%"
"22.05.2024","69.155,4","70.141,0","70.593,4","69.024,3","65,08K","-1,40%"
"21.05.2024","70.139,9","71.430,5","71.872,0","69.181,7","108,56K","-1,80%"
"20.05.2024","71.422,7","66.278,3","71.482,8","66.076,5","112,66K","7,76%"
"19.05.2024","66.279,1","66.919,0","67.662,5","65.937,3","36,19K","-0,95%"
"18.05.2024","66.917,5","67.036,6","67.361,4","66.636,1","29,68K","-0,18%"
"17.05.2024","67.036,8","65.231,1","67.420,7","65.121,7","63,09K","2,77%"
"16.05.2024","65.231,0","66.219,6","66.643,9","64.623,3","72,55K","-1,50%"
"15.05.2024","66.225,1","61.569,4","66.417,1","61.357,5","106,05K","7,56%"
"14.05.2024","61.569,4","62.936,8","63.102,6","61.156,9","68,84K","-2,17%"
"13.05.2024","62.937,2","61.480,5","63.443,2","60.779,0","70,55K","2,37%"
"12.05.2024","61.480,0","60.826,6","61.847,7","60.647,1","27,40K","1,07%"
"11.05.2024","60.826,6","60.796,8","61.487,5","60.499,3","27,50K","0,05%"
"10.05.2024","60.796,9","63.074,3","63.454,3","60.251,8","79,33K","-3,61%"
"09.05.2024","63.075,0","61.207,3","63.413,3","60.671,4","64,22K","3,05%"
"08.05.2024","61.207,5","62.304,9","62.997,4","60.894,2","56,47K","-1,78%"
"07.05.2024","62.317,7","63.163,1","64.361,0","62.294,1","59,74K","-1,34%"
"06.05.2024","63.163,1","64.005,8","65.448,8","62.730,7","77,68K","-1,32%"
"05.05.2024","64.006,4","63.897,7","64.587,2","62.923,9","40,51K","0,18%"
"04.05.2024","63.888,3","62.887,1","64.466,0","62.599,1","53,03K","1,61%"
"03.05.2024","62.877,5","59.104,3","63.298,4","58.830,8","100,46K","6,35%"
"02.05.2024","59.121,3","58.334,9","59.548,0","56.989,8","98,06K","1,35%"
"01.05.2024","58.331,2","60.665,0","60.827,5","56.643,5","171,55K","-3,85%"
"30.04.2024","60.666,6","63.852,4","64.700,2","59.228,7","121,04K","-5,00%"
"29.04.2024","63.860,1","63.113,7","64.193,1","61.837,2","67,26K","1,19%"
"28.04.2024","63.109,7","63.457,9","64.346,1","62.827,8","36,65K","-0,55%"
"27.04.2024","63.456,8","63.765,8","63.916,7","62.507,7","45,34K","-0,49%"
"26.04.2024","63.766,4","64.497,1","64.771,3","63.354,9","61,60K","-1,13%"
"25.04.2024","64.497,1","64.287,1","65.247,5","62.889,2","80,77K","0,33%"
"24.04.2024","64.285,7","66.414,9","67.060,5","63.606,9","77,83K","-3,21%"
"23.04.2024","66.415,0","66.829,5","67.180,0","65.848,3","52,42K","-0,62%"
"22.04.2024","66.829,3","64.940,1","67.208,0","64.527,5","72,30K","2,91%"
"21.04.2024","64.940,2","64.942,1","65.680,6","64.267,5","42,02K","-0,03%"
"20.04.2024","64.961,1","63.817,6","65.375,6","63.131,7","49,33K","1,82%"
"19.04.2024","63.799,1","63.480,5","65.441,2","59.693,3","150,34K","0,50%"
"18.04.2024","63.481,4","61.278,9","64.092,4","60.822,3","97,38K","3,59%"
"17.04.2024","61.278,9","63.802,3","64.451,5","59.820,8","118,92K","-3,96%"
"16.04.2024","63.805,3","63.416,1","64.274,4","61.715,6","114,96K","0,62%"
"15.04.2024","63.411,9","65.696,6","66.805,1","62.379,5","118,79K","-3,48%"
"14.04.2024","65.697,4","63.909,5","65.758,2","62.174,7","134,40K","2,89%"
"13.04.2024","63.849,9","67.137,4","67.921,0","61.065,5","149,48K","-4,92%"
"12.04.2024","67.151,9","70.014,9","71.226,9","65.829,3","131,84K","-4,08%"
"11.04.2024","70.011,6","70.620,4","71.249,2","69.586,1","72,51K","-0,86%"
"10.04.2024","70.622,1","69.147,8","71.086,9","67.570,0","97,71K","2,13%"
"09.04.2024","69.148,0","71.627,3","71.737,2","68.264,6","93,69K","-3,47%"
"08.04.2024","71.630,1","69.358,0","72.710,8","69.110,5","105,78K","3,27%"
"07.04.2024","69.360,4","68.897,3","70.285,8","68.849,4","46,99K","0,68%"
"06.04.2024","68.890,6","67.830,5","69.632,0","67.467,2","41,48K","1,56%"
"05.04.2024","67.830,6","68.498,7","68.692,2","66.023,3","88,97K","-0,97%"
"04.04.2024","68.496,5","65.968,4","69.238,8","65.096,3","100,30K","3,84%"
"03.04.2024","65.963,0","65.443,6","66.844,8","64.559,0","88,46K","0,80%"
"02.04.2024","65.439,2","69.662,7","69.673,0","64.628,4","152,87K","-6,07%"
"01.04.2024","69.664,4","71.329,3","71.329,3","68.175,9","94,05K","-2,34%"
"31.03.2024","71.332,0","69.608,5","71.367,5","69.576,6","42,45K","2,47%"
"30.03.2024","69.611,5","69.872,3","70.321,2","69.564,9","29,87K","-0,37%"
"29.03.2024","69.871,7","70.766,7","70.907,0","69.090,9","58,99K","-1,26%"
"28.03.2024","70.762,1","69.449,4","71.542,5","68.956,9","72,49K","1,90%"
"27.03.2024","69.442,4","69.999,2","71.670,8","68.428,6","112,88K","-0,80%"
"26.03.2024","69.999,3","69.896,3","71.490,7","69.366,4","90,98K","0,15%"
"25.03.2024","69.892,0","67.216,4","71.118,8","66.395,0","124,72K","3,99%"
"24.03.2024","67.211,9","64.036,5","67.587,8","63.812,9","65,59K","4,96%"
"23.03.2024","64.037,8","63.785,6","65.972,4","63.074,9","35,11K","0,40%"
"22.03.2024","63.785,5","65.501,5","66.633,3","62.328,3","72,43K","-2,62%"
"21.03.2024","65.503,8","67.860,0","68.161,7","64.616,1","75,26K","-3,46%"
"20.03.2024","67.854,0","62.046,8","68.029,5","60.850,9","133,53K","9,35%"
"19.03.2024","62.050,0","67.594,1","68.099,6","61.560,6","148,08K","-8,20%"
"18.03.2024","67.594,1","68.389,7","68.920,1","66.601,4","78,07K","-1,17%"
"17.03.2024","68.391,2","65.314,2","68.857,7","64.605,5","66,07K","4,71%"
"16.03.2024","65.314,2","69.456,5","70.037,0","64.971,0","75,82K","-5,97%"
"15.03.2024","69.463,7","71.387,1","72.398,1","65.765,6","148,59K","-2,69%"
"14.03.2024","71.387,5","73.066,7","73.740,9","68.717,2","109,43K","-2,30%"
"13.03.2024","73.066,3","71.461,9","73.623,5","71.338,4","77,18K","2,23%"
"12.03.2024","71.470,2","72.099,1","72.916,7","68.845,6","105,09K","-0,87%"
"11.03.2024","72.099,1","68.964,7","72.771,5","67.452,8","114,72K","4,54%"
"10.03.2024","68.964,8","68.360,7","69.905,3","68.165,0","53,49K","0,88%"
"09.03.2024","68.366,5","68.178,5","68.576,9","67.923,9","30,71K","0,29%"
"08.03.2024","68.172,0","66.854,4","69.904,0","66.170,7","112,67K","1,97%"
"07.03.2024","66.855,3","66.074,6","67.985,5","65.602,6","77,47K","1,17%"
"06.03.2024","66.080,4","63.794,7","67.604,9","62.848,7","117,91K","3,59%"
"05.03.2024","63.792,6","68.273,1","69.063,1","60.138,2","207,60K","-6,56%"
"04.03.2024","68.270,1","63.135,8","68.495,1","62.746,8","130,86K","8,13%"
"03.03.2024","63.135,8","61.955,6","63.227,3","61.399,4","38,01K","1,84%"
"02.03.2024","61.994,5","62.397,7","62.446,3","61.621,9","33,80K","-0,65%"
"01.03.2024","62.397,7","61.157,3","63.147,3","60.790,9","74,96K","2,01%"
"29.02.2024","61.169,3","62.467,1","63.653,4","60.512,5","119,29K","-2,08%"
"28.02.2024","62.467,6","57.048,7","63.915,3","56.704,9","173,64K","9,48%"
"27.02.2024","57.056,2","54.491,1","57.555,2","54.464,0","100,48K","4,70%"
"26.02.2024","54.495,1","51.722,7","54.899,1","50.925,2","78,05K","5,36%"
"25.02.2024","51.722,7","51.572,1","51.952,0","51.299,0","23,61K","0,29%"
"24.02.2024","51.571,6","50.739,6","51.689,9","50.592,0","20,99K","1,64%"
"23.02.2024","50.740,5","51.320,6","51.532,5","50.537,6","43,27K","-1,13%"
"22.02.2024","51.320,4","51.850,2","52.015,8","50.947,3","50,27K","-1,04%"
"21.02.2024","51.858,2","52.263,5","52.367,3","50.676,9","59,02K","-0,78%"
"20.02.2024","52.263,5","51.783,1","52.936,8","50.801,8","68,10K","0,93%"
"19.02.2024","51.783,6","52.119,6","52.484,8","51.694,2","36,73K","-0,64%"
"18.02.2024","52.117,5","51.646,0","52.350,3","51.199,6","26,89K","0,91%"
"17.02.2024","51.646,0","52.134,2","52.175,5","50.652,3","32,45K","-0,94%"
"16.02.2024","52.134,2","51.901,4","52.556,7","51.612,6","52,86K","0,45%"
"15.02.2024","51.901,3","51.805,2","52.819,4","51.327,5","74,72K","0,23%"
"14.02.2024","51.782,4","49.708,6","52.010,7","49.263,8","80,35K","4,16%"
"13.02.2024","49.716,0","49.941,0","50.326,6","48.398,3","78,51K","-0,45%"
"12.02.2024","49.941,3","48.280,2","50.277,3","47.729,9","81,85K","3,45%"
"11.02.2024","48.277,3","47.759,3","48.531,6","47.590,2","36,50K","1,09%"
"10.02.2024","47.758,2","47.128,0","48.149,0","46.875,0","31,20K","1,34%"
"09.02.2024","47.127,5","45.293,3","48.118,8","45.254,2","98,11K","4,05%"
"08.02.2024","45.293,3","44.346,2","45.579,2","44.336,4","66,38K","2,15%"
"07.02.2024","44.339,8","43.088,4","44.367,9","42.783,5","48,57K","2,91%"
"06.02.2024","43.087,7","42.697,6","43.375,5","42.566,8","33,32K","0,91%"
"05.02.2024","42.697,2","42.581,4","43.532,2","42.272,5","39,26K","0,27%"
"04.02.2024","42.581,4","43.006,2","43.113,2","42.379,4","20,33K","-0,99%"
"03.02.2024","43.005,7","43.194,7","43.370,4","42.882,0","14,57K","-0,44%"
"02.02.2024","43.194,7","43.083,7","43.459,3","42.596,3","42,65K","0,26%"
"01.02.2024","43.081,4","42.580,1","43.263,1","41.890,5","47,69K","1,18%"
"31.01.2024","42.580,5","42.946,2","43.739,7","42.315,4","56,48K","-0,85%"
"30.01.2024","42.946,2","43.303,3","43.817,9","42.702,9","55,13K","-0,82%"
"29.01.2024","43.299,8","42.031,4","43.305,6","41.824,7","45,23K","3,02%"
"28.01.2024","42.030,7","42.121,3","42.817,1","41.649,0","32,53K","-0,21%"
"27.01.2024","42.120,9","41.811,5","42.191,8","41.413,0","20,46K","0,74%"
"26.01.2024","41.811,3","39.942,0","42.214,8","39.831,2","69,47K","4,70%"
"25.01.2024","39.935,7","40.085,1","40.285,8","39.546,3","46,30K","-0,37%"
"24.01.2024","40.086,0","39.891,3","40.535,2","39.510,0","58,64K","0,49%"
"23.01.2024","39.888,8","39.555,0","40.159,4","38.546,9","82,67K","0,84%"
"22.01.2024","39.556,4","41.581,7","41.684,9","39.468,4","85,10K","-4,87%"
"21.01.2024","41.583,2","41.695,4","41.878,0","41.504,5","16,11K","-0,27%"
"20.01.2024","41.695,4","41.647,6","41.858,0","41.449,5","22,27K","0,11%"
"19.01.2024","41.648,0","41.293,8","42.164,6","40.305,4","72,64K","0,86%"
"18.01.2024","41.292,7","42.763,5","42.908,0","40.682,6","70,35K","-3,45%"
"17.01.2024","42.768,7","43.139,1","43.192,3","42.211,8","50,44K","-0,87%"
"16.01.2024","43.145,5","42.515,2","43.563,7","42.093,1","63,93K","1,49%"
"15.01.2024","42.510,7","41.747,6","43.348,9","41.719,2","52,08K","1,83%"
"14.01.2024","41.746,1","42.851,3","43.069,4","41.739,6","37,14K","-2,58%"
"13.01.2024","42.851,3","42.836,7","43.248,6","42.443,3","48,18K","0,04%"
"12.01.2024","42.835,9","46.348,1","46.503,2","41.857,9","136,92K","-7,58%"
"11.01.2024","46.348,2","46.629,3","48.923,7","45.651,8","131,04K","-0,60%"
"10.01.2024","46.629,3","46.112,0","47.654,3","44.403,6","131,48K","1,08%"
"09.01.2024","46.129,0","46.959,2","47.880,1","45.333,9","100,09K","-1,77%"
"08.01.2024","46.962,2","43.934,2","47.196,7","43.251,0","103,09K","6,91%"
"07.01.2024","43.927,3","43.973,5","44.481,2","43.627,9","29,53K","-0,09%"
"06.01.2024","43.967,9","44.156,6","44.203,2","43.424,0","24,26K","-0,43%"
"05.01.2024","44.156,9","44.163,0","44.312,1","42.629,0","68,07K","0,00%"
"04.01.2024","44.157,0","42.836,1","44.744,5","42.632,8","68,05K","3,08%"
"03.01.2024","42.836,1","44.943,7","45.492,7","40.888,3","117,65K","-4,69%"
"02.01.2024","44.943,7","44.182,9","45.885,4","44.166,0","97,84K","1,72%"
"01.01.2024","44.183,4","42.272,5","44.187,0","42.196,7","36,30K","4,52%"
"31.12.2023","42.272,5","42.141,6","42.878,8","41.971,4","35,58K","0,32%"
"30.12.2023","42.136,7","42.074,7","42.592,2","41.527,3","35,18K","0,15%"
"29.12.2023","42.072,4","42.581,1","43.108,0","41.459,0","60,98K","-1,19%"
"28.12.2023","42.581,1","43.446,5","43.782,6","42.309,3","49,84K","-1,99%"
"27.12.2023","43.446,5","42.514,3","43.676,7","42.115,3","50,10K","2,20%"
"26.12.2023","42.513,3","43.579,9","43.594,9","41.796,6","56,03K","-2,44%"
"25.12.2023","43.578,5","42.982,0","43.792,7","42.745,3","32,67K","1,39%"
"24.12.2023","42.981,5","43.710,4","43.935,7","42.748,5","30,86K","-1,67%"
"23.12.2023","43.710,4","43.968,9","43.994,6","43.325,7","21,29K","-0,59%"
"22.12.2023","43.968,9","43.865,9","44.394,6","43.419,3","44,50K","0,23%"
"21.12.2023","43.865,9","43.660,3","44.241,8","43.310,2","48,96K","0,47%"
"20.12.2023","43.662,8","42.259,5","44.278,7","42.217,2","70,19K","3,32%"
"19.12.2023","42.259,3","42.659,7","43.473,3","41.842,7","55,29K","-0,94%"
"18.12.2023","42.659,7","41.369,1","42.728,0","40.554,0","61,58K","3,12%"
"17.12.2023","41.368,7","42.271,7","42.413,2","41.276,9","35,46K","-2,14%"
"16.12.2023","42.271,7","41.929,0","42.690,3","41.698,2","30,11K","0,82%"
"15.12.2023","41.929,0","43.025,2","43.080,7","41.697,9","45,28K","-2,55%"
"14.12.2023","43.025,9","42.886,3","43.392,7","41.591,2","59,15K","0,33%"
"13.12.2023","42.884,5","41.487,0","43.417,5","40.649,3","63,11K","3,37%"
"12.12.2023","41.487,0","41.256,1","42.070,9","40.691,5","57,04K","0,56%"
"11.12.2023","41.256,1","43.791,0","43.806,3","40.277,1","105,19K","-5,79%"
"10.12.2023","43.791,0","43.716,6","44.045,4","43.576,8","23,81K","0,17%"
"09.12.2023","43.718,4","44.175,5","44.361,2","43.617,4","31,67K","-1,03%"
"08.12.2023","44.175,5","43.288,3","44.697,6","43.108,4","58,44K","2,05%"
"07.12.2023","43.289,7","43.774,4","44.046,4","42.860,5","63,09K","-1,11%"
"06.12.2023","43.776,3","44.076,2","44.283,7","43.466,7","72,52K","-0,68%"
"05.12.2023","44.076,2","41.989,6","44.424,1","41.424,9","96,84K","4,97%"
"04.12.2023","41.987,8","39.968,6","42.394,4","39.968,6","104,21K","5,05%"
"03.12.2023","39.970,2","39.456,8","40.178,9","39.280,3","35,27K","1,30%"
"02.12.2023","39.458,4","38.688,2","39.673,4","38.646,5","37,09K","1,99%"
"01.12.2023","38.688,2","37.712,9","38.950,8","37.618,3","62,50K","2,59%"
"30.11.2023","37.712,9","37.857,6","38.144,4","37.509,2","33,53K","-0,38%"
"29.11.2023","37.855,5","37.823,3","38.362,9","37.607,6","49,34K","0,09%"
"28.11.2023","37.823,3","37.244,3","38.379,4","36.881,1","57,50K","1,54%"
"27.11.2023","37.248,6","37.451,8","37.563,3","36.751,5","45,24K","-0,54%"
"26.11.2023","37.451,8","37.786,4","37.819,1","37.166,3","29,20K","-0,89%"
"25.11.2023","37.787,0","37.718,6","37.887,4","37.599,9","16,09K","0,18%"
"24.11.2023","37.717,3","37.295,0","38.400,8","37.257,4","65,83K","1,14%"
"23.11.2023","37.293,1","37.410,8","37.642,5","36.915,3","32,35K","-0,31%"
"22.11.2023","37.410,8","35.797,5","37.862,5","35.695,6","64,81K","4,46%"
"21.11.2023","35.813,6","37.452,7","37.631,2","35.799,2","71,07K","-4,38%"
"20.11.2023","37.454,1","37.356,6","37.735,6","36.857,6","51,80K","0,27%"
"19.11.2023","37.354,2","36.568,6","37.504,6","36.393,3","26,14K","2,15%"
"18.11.2023","36.568,6","36.617,5","36.845,2","36.220,6","20,88K","-0,07%"
"17.11.2023","36.595,4","36.161,8","36.690,6","35.875,2","51,37K","1,20%"
"16.11.2023","36.161,2","37.873,9","37.907,6","35.561,6","66,92K","-4,52%"
"15.11.2023","37.874,9","35.549,3","37.954,1","35.379,6","75,51K","6,54%"
"14.11.2023","35.549,3","36.478,3","36.744,5","34.984,3","63,56K","-2,55%"
"13.11.2023","36.478,3","37.067,8","37.404,6","36.358,4","44,55K","-1,58%"
"12.11.2023","37.064,4","37.149,0","37.215,3","36.761,9","21,45K","-0,23%"
"11.11.2023","37.150,5","37.306,3","37.401,3","36.767,6","29,53K","-0,41%"
"10.11.2023","37.303,0","36.700,5","37.496,1","36.347,2","59,56K","1,64%"
"09.11.2023","36.700,5","35.636,9","37.942,0","35.578,1","115,56K","2,98%"
"08.11.2023","35.636,9","35.426,2","36.050,2","35.148,8","46,33K","0,60%"
"07.11.2023","35.426,1","35.042,1","35.877,9","34.536,9","53,49K","1,10%"
"06.11.2023","35.042,0","35.020,3","35.275,6","34.742,9","29,81K","0,06%"
"05.11.2023","35.019,4","35.065,8","35.360,2","34.550,0","31,02K","-0,13%"
"04.11.2023","35.065,8","34.718,6","35.242,2","34.601,1","23,80K","1,00%"
"03.11.2023","34.718,7","34.931,4","34.940,6","34.124,2","54,54K","-0,61%"
"02.11.2023","34.931,4","35.423,8","35.907,6","34.357,4","63,66K","-1,39%"
"01.11.2023","35.423,8","34.648,3","35.557,5","34.138,7","71,66K","2,23%"
"31.10.2023","34.650,6","34.478,9","34.704,6","34.053,9","43,40K","0,50%"
"30.10.2023","34.477,9","34.526,7","34.853,3","34.089,5","45,20K","-0,14%"
"29.10.2023","34.526,7","34.082,6","34.737,9","33.937,6","27,72K","1,30%"
"28.10.2023","34.082,6","33.901,6","34.387,8","33.867,3","22,00K","0,53%"
"27.10.2023","33.901,8","34.153,7","34.245,8","33.423,6","47,33K","-0,74%"
"26.10.2023","34.153,7","34.497,6","34.826,0","33.749,9","56,62K","-0,99%"
"25.10.2023","34.496,8","33.917,0","35.123,9","33.713,4","75,81K","1,71%"
"24.10.2023","33.917,0","33.037,3","35.191,4","32.866,5","159,08K","2,65%"
"23.10.2023","33.041,8","29.984,2","34.375,6","29.891,4","133,46K","10,20%"
"22.10.2023","29.984,2","29.912,7","30.193,4","29.713,6","29,07K","0,24%"
"21.10.2023","29.912,9","29.674,7","30.264,8","29.469,1","34,68K","0,80%"
"20.10.2023","29.674,5","28.724,0","30.165,9","28.586,1","82,68K","3,31%"
"19.10.2023","28.723,0","28.321,8","28.883,8","28.170,2","50,10K","1,42%"
"18.10.2023","28.321,7","28.405,2","28.876,0","28.169,0","45,01K","-0,29%"
"17.10.2023","28.403,6","28.508,3","28.608,5","28.096,9","53,42K","-0,37%"
"16.10.2023","28.509,7","27.161,2","29.969,5","27.119,7","119,18K","4,96%"
"15.10.2023","27.161,2","26.852,8","27.286,9","26.812,6","21,95K","1,15%"
"14.10.2023","26.852,8","26.863,5","26.975,7","26.805,1","13,56K","-0,04%"
"13.10.2023","26.863,5","26.761,1","27.114,8","26.682,9","33,66K","0,38%"
"12.10.2023","26.761,1","26.878,2","26.942,8","26.565,3","32,75K","-0,43%"
"11.10.2023","26.876,6","27.391,9","27.475,9","26.558,4","55,78K","-1,88%"
"10.10.2023","27.391,0","27.581,5","27.728,1","27.300,1","34,32K","-0,69%"
"09.10.2023","27.581,4","27.922,7","27.986,4","27.279,5","44,81K","-1,22%"
"08.10.2023","27.922,7","27.961,1","28.097,5","27.714,4","24,11K","-0,14%"
"07.10.2023","27.961,1","27.935,5","28.021,3","27.859,0","17,29K","0,09%"
"06.10.2023","27.936,9","27.410,3","28.223,6","27.195,7","52,51K","1,92%"
"05.10.2023","27.410,3","27.783,5","28.089,1","27.371,7","46,26K","-1,37%"
"04.10.2023","27.790,9","27.428,7","27.832,7","27.242,5","40,93K","1,32%"
"03.10.2023","27.428,4","27.501,6","27.670,8","27.194,1","44,06K","-0,28%"
"02.10.2023","27.505,3","27.974,6","28.556,6","27.325,2","84,30K","-1,68%"
"01.10.2023","27.974,5","26.962,5","28.038,4","26.955,7","35,11K","3,75%"
"30.09.2023","26.962,7","26.908,1","27.085,7","26.887,5","17,55K","0,20%"
"29.09.2023","26.909,8","27.022,6","27.229,5","26.728,8","42,24K","-0,42%"
"28.09.2023","27.022,6","26.368,2","27.283,6","26.339,4","64,56K","2,49%"
"27.09.2023","26.366,1","26.218,9","26.836,9","26.109,1","50,80K","0,56%"
"26.09.2023","26.218,9","26.303,1","26.396,2","26.093,4","26,41K","-0,32%"
"25.09.2023","26.302,7","26.251,6","26.423,6","26.013,6","38,20K","0,20%"
"24.09.2023","26.251,5","26.579,0","26.727,6","26.162,2","22,32K","-1,23%"
"23.09.2023","26.579,2","26.581,7","26.636,2","26.517,5","12,92K","-0,01%"
"22.09.2023","26.581,9","26.569,5","26.736,4","26.488,5","28,79K","0,04%"
"21.09.2023","26.570,0","27.125,2","27.155,6","26.382,3","47,81K","-2,05%"
"20.09.2023","27.125,0","27.209,2","27.378,6","26.851,8","47,23K","-0,31%"
"19.09.2023","27.209,2","26.759,0","27.480,7","26.672,2","52,17K","1,67%"
"18.09.2023","26.763,5","26.530,3","27.413,3","26.405,2","63,35K","0,88%"
"17.09.2023","26.529,1","26.562,0","26.614,4","26.408,7","16,57K","-0,12%"
"16.09.2023","26.562,0","26.599,9","26.769,0","26.463,5","18,45K","-0,15%"
"15.09.2023","26.601,0","26.523,3","26.837,4","26.233,1","36,47K","0,29%"
"14.09.2023","26.524,7","26.223,0","26.760,3","26.148,6","53,82K","1,15%"
"13.09.2023","26.223,0","25.836,1","26.382,3","25.766,9","42,58K","1,50%"
"12.09.2023","25.834,5","25.166,4","26.472,6","25.133,5","78,71K","2,65%"
"11.09.2023","25.166,4","25.840,2","25.897,4","24.923,1","56,32K","-2,61%"
"10.09.2023","25.840,2","25.901,1","25.995,1","25.626,7","23,60K","-0,24%"
"09.09.2023","25.901,1","25.909,5","25.938,5","25.814,3","13,48K","-0,03%"
"08.09.2023","25.909,5","26.248,5","26.415,4","25.701,6","41,01K","-1,30%"
"07.09.2023","26.249,8","25.758,0","26.417,7","25.626,5","39,77K","1,91%"
"06.09.2023","25.758,0","25.790,1","26.018,4","25.411,7","37,78K","-0,13%"
"05.09.2023","25.790,2","25.824,4","25.864,0","25.596,3","28,40K","-0,13%"
"04.09.2023","25.823,3","25.971,0","26.094,2","25.660,9","27,13K","-0,57%"
"03.09.2023","25.971,0","25.869,7","26.090,4","25.816,6","21,36K","0,39%"
"02.09.2023","25.869,7","25.803,5","25.977,4","25.752,7","21,24K","0,26%"
"01.09.2023","25.803,2","25.938,3","26.144,9","25.361,9","58,08K","-0,52%"
